,Key,jpath
535,major,"['education', 'major']"
536,%or[ 	]*cgpa[ 	]*of[ 	]*marks,"['education', 'performancescale']"
537,percentage/cgpa,"['education', 'performancescale']"
538,percentage[ 	]*obtained,"['education', 'performancescale']"
539,percentage[ 	]*%,"['education', 'performancescale']"
540,percentage,"['education', 'performancescale']"
541,percentage[ 	]*of[ 	]*marks,"['education', 'performancescale']"
542,percentage[ 	]*secured,"['education', 'performancescale']"
543,percentage[ 	]*(%),"['education', 'performancescale']"
544,percentage[ 	]*of[ 	]*marks,"['education', 'performancescale']"
545,percentage,"['education', 'performancescale']"
546,percentage[ 	]*obtained,"['education', 'performancescale']"
547,percentage/grade,"['education', 'performancescale']"
548,%marks,"['education', 'performancescale']"
549,%/cgpa,"['education', 'performancescale']"
550,%[ 	]*marks,"['education', 'performancescale']"
551,marks,"['education', 'performancescale']"
